team,games,fantasy_points,ppg,rank,sacks,interceptions,fumbles_recovered,safeties,defensive_tds,special_teams_tds,blocked_kicks,points_allowed,points_allowed_per_game,shutouts
SEA,17,164.0,9.65,1,47.0,18,7,0,3,4,3,292,17.18,1
HOU,17,158.0,9.29,2,47.0,19,10,0,5,0,3,295,17.35,1
DEN,17,132.0,7.76,3,68.0,10,4,0,1,1,2,311,18.29,0
JAX,17,129.0,7.59,4,32.0,22,9,1,2,2,0,336,19.76,0
PHI,17,126.0,7.41,5,42.0,12,9,1,1,2,4,325,19.12,1
PIT,17,126.0,7.41,6,48.0,15,12,1,3,0,0,387,22.76,0
CLE,17,125.0,7.35,7,53.0,11,7,0,4,0,2,379,22.29,0
LA,17,124.0,7.29,8,47.0,16,9,0,1,1,2,346,20.35,0
MIN,17,124.0,7.29,9,49.0,8,13,1,2,0,2,333,19.59,1
NE,17,116.0,6.82,10,34.0,10,9,0,2,3,0,320,18.82,0
ATL,17,112.0,6.59,11,57.0,16,7,0,1,0,1,401,23.59,0
NO,17,110.0,6.47,12,44.0,10,10,0,3,0,2,383,22.53,0
CHI,17,110.0,6.47,13,35.0,23,10,0,2,0,1,415,24.41,0
BUF,17,104.0,6.12,14,36.0,13,7,0,2,1,1,365,21.47,0
LAC,17,101.0,5.94,15,45.0,19,4,1,0,0,0,340,20.0,0
DET,17,94.0,5.53,16,48.0,13,6,1,0,1,0,413,24.29,0
TB,17,93.0,5.47,17,37.0,13,10,1,2,0,0,411,24.18,0
CAR,17,93.0,5.47,18,30.0,15,6,0,2,0,1,380,22.35,1
MIA,17,92.0,5.41,19,39.0,9,11,1,0,1,2,424,24.94,0
BAL,17,88.0,5.18,20,30.0,11,9,0,2,0,2,398,23.41,1
IND,17,87.0,5.12,21,39.0,14,7,0,1,0,2,412,24.24,0
TEN,17,85.0,5.0,22,42.0,6,7,1,2,2,2,478,28.12,0
WAS,17,75.0,4.41,23,42.0,8,2,1,0,2,2,451,26.53,0
NYG,17,75.0,4.41,24,38.0,9,6,0,1,1,0,439,25.82,0
KC,17,74.0,4.35,25,33.0,10,4,0,0,0,1,328,19.29,1
ARI,17,72.0,4.24,26,30.0,10,9,0,2,0,3,488,28.71,0
GB,17,72.0,4.24,27,36.0,7,7,0,0,0,0,360,21.18,0
LV,17,70.0,4.12,28,36.0,8,8,1,0,0,0,432,25.41,0
CIN,17,69.0,4.06,29,34.0,13,7,0,1,1,1,492,28.94,0
SF,17,69.0,4.06,30,20.0,6,10,0,1,0,1,371,21.82,0
DAL,17,61.0,3.59,31,34.0,6,6,1,1,1,3,511,30.06,0
NYJ,17,44.0,2.59,32,26.0,0,4,0,0,4,1,503,29.59,0
