player_id,player,position,team,teams_played_for,games,fantasy_points_std,fantasy_points_half_ppr,fantasy_points_ppr,ppg_std,ppg_half_ppr,ppg_ppr,pos_rank_ppr,pos_rank_std,best_week_ppr,worst_week_ppr,stdev_ppr,boom_weeks,bust_weeks,completions,pass_attempts,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,total_tds,fumbles_lost,target_share,air_yards_share,wopr,fg_made,fg_att,fg_made_50_plus,pat_made,age_next_season,years_exp,team_next_season,status_next_season,movement
00-0033280,Christian McCaffrey,RB,SF,SF,17,314.6,365.6,416.6,18.51,21.51,24.51,1,2,39.1,9.8,8.22,12,0,0,1,0,0,0,311,1202,10,129,102,924,7,17,0,0.234,0.078,0.405,0,0,0,0,30.2,9,SF,ACT,same team
00-0039075,Puka Nacua,WR,LA,LA,16,246.0,310.5,375.0,15.37,19.41,23.44,1,1,46.5,4.8,10.21,10,1,0,0,0,0,0,10,105,1,166,129,1715,10,11,1,0.301,0.319,0.675,0,0,0,0,25.3,3,LA,ACT,same team
00-0038542,Bijan Robinson,RB,ATL,ATL,17,291.8,331.3,370.8,17.16,19.49,21.81,2,3,39.9,5.8,10.26,9,0,0,0,0,0,0,287,1478,7,103,79,820,4,11,3,0.198,0.021,0.311,0,0,0,0,24.6,3,ATL,ACT,same team
00-0039139,Jahmyr Gibbs,RB,DET,DET,17,289.9,328.4,366.9,17.05,19.32,21.58,3,4,55.4,5.8,13.53,7,0,0,0,0,0,0,243,1223,13,94,77,616,5,18,1,0.162,0.015,0.253,0,0,0,0,24.5,3,DET,ACT,same team
00-0034857,Josh Allen,QB,BUF,BUF,16,364.6,364.6,364.6,22.79,22.79,22.79,1,1,42.7,6.9,10.4,9,0,319,460,3668,25,10,112,579,14,0,0,0,0,39,3,0.0,0.0,0.0,0,0,0,0,30.3,8,BUF,ACT,same team
00-0036223,Jonathan Taylor,RB,IND,IND,17,316.3,339.3,362.3,18.61,19.96,21.31,4,1,49.6,5.9,12.44,7,0,0,0,0,0,0,323,1585,18,55,46,378,2,20,1,0.11,-0.011,0.157,0,0,0,0,27.6,6,IND,ACT,same team
00-0038543,Jaxon Smith-Njigba,WR,SEA,SEA,17,240.9,300.4,359.9,14.17,17.67,21.17,2,2,37.1,4.3,7.48,10,1,0,0,0,0,0,7,36,0,163,119,1793,10,10,1,0.368,0.503,0.904,0,0,0,0,24.5,3,SEA,ACT,same team
00-0039851,Drake Maye,QB,NE,NE,17,351.0,351.5,352.0,20.64,20.67,20.7,2,2,32.4,12.1,5.39,9,0,354,492,4394,31,8,103,450,4,1,1,2,0,35,3,0.001,-0.001,0.001,0,0,0,0,24.0,2,NE,ACT,same team
00-0026498,Matthew Stafford,QB,LA,LA,17,350.4,350.4,350.4,20.61,20.61,20.61,3,3,30.9,9.3,6.98,10,0,388,597,4707,46,8,29,1,0,0,0,0,0,46,3,0.0,0.0,0.0,0,0,0,0,38.6,17,LA,ACT,same team
00-0036971,Trevor Lawrence,QB,JAX,JAX,17,338.2,338.2,338.2,19.89,19.89,19.89,4,4,44.3,7.8,8.79,7,0,341,560,4007,29,12,82,359,9,0,0,0,0,38,3,0.0,0.0,0.0,0,0,0,0,26.9,5,JAX,ACT,same team
00-0036963,Amon-Ra St. Brown,WR,DET,DET,17,207.0,265.5,324.0,12.18,15.62,19.06,3,3,41.4,0.0,10.93,7,1,0,0,0,0,0,3,9,0,172,117,1401,11,11,0,0.317,0.387,0.746,0,0,0,0,26.9,5,DET,ACT,same team
00-0039040,De'Von Achane,RB,MIA,MIA,16,255.8,289.3,322.8,15.99,18.08,20.17,5,7,40.5,12.8,7.02,5,0,0,0,0,0,0,238,1350,8,85,67,488,4,12,0,0.188,0.011,0.289,0,0,0,0,24.9,3,MIA,ACT,same team
00-0039918,Caleb Williams,QB,CHI,CHI,17,316.7,317.7,318.7,18.63,18.69,18.75,5,5,38.7,4.7,8.23,8,1,330,568,3942,27,7,77,388,3,2,2,22,1,31,1,0.003,-0.001,0.005,0,0,0,0,24.8,2,CHI,ACT,same team
00-0037744,Trey McBride,TE,ARI,ARI,17,189.9,252.9,315.9,11.17,14.88,18.58,1,1,37.4,6.7,8.37,7,0,0,0,0,0,0,0,0,0,169,126,1239,11,11,0,0.279,0.246,0.59,0,0,0,0,26.8,4,ARI,ACT,same team
00-0033077,Dak Prescott,QB,DAL,DAL,17,313.8,313.8,313.8,18.46,18.46,18.46,6,6,31.0,0.7,8.28,9,1,404,600,4552,30,10,53,177,2,0,0,0,0,32,2,0.0,0.0,0.0,0,0,0,0,33.1,10,DAL,ACT,same team
00-0036900,Ja'Marr Chase,WR,CIN,CIN,16,188.6,251.1,313.6,11.79,15.69,19.6,4,5,38.1,4.6,10.26,8,1,0,0,0,0,0,3,14,0,185,125,1412,8,8,1,0.321,0.366,0.737,0,0,0,0,26.5,5,CIN,ACT,same team
00-0039732,Bo Nix,QB,DEN,DEN,17,304.8,304.8,304.8,17.93,17.93,17.93,7,7,40.0,5.8,8.37,5,0,388,612,3931,25,11,83,356,5,1,0,0,0,30,2,0.002,0.0,0.003,0,0,0,0,26.5,2,DEN,ACT,same team
00-0037248,James Cook,RB,BUF,BUF,17,269.2,285.7,302.2,15.84,16.81,17.78,6,5,33.6,1.5,9.2,9,2,0,0,0,0,0,309,1621,12,40,33,291,2,14,3,0.082,0.006,0.127,0,0,0,0,26.9,4,BUF,ACT,same team
