player_id,player,position,team,opponent,week,fantasy_points_std,fantasy_points_half_ppr,fantasy_points_ppr
00-0035676,A.J. Brown,WR,PHI,DAL,1,0.8,1.3,1.8
00-0035676,A.J. Brown,WR,PHI,KC,2,2.7,5.2,7.7
00-0035676,A.J. Brown,WR,PHI,LA,3,16.9,19.9,22.9
00-0035676,A.J. Brown,WR,PHI,TB,4,0.7,1.7,2.7
00-0035676,A.J. Brown,WR,PHI,DEN,5,4.3,6.8,9.3
00-0035676,A.J. Brown,WR,PHI,NYG,6,8.0,11.0,14.0
00-0035676,A.J. Brown,WR,PHI,MIN,7,24.1,26.1,28.1
00-0035676,A.J. Brown,WR,PHI,GB,10,1.3,2.3,3.3
00-0035676,A.J. Brown,WR,PHI,DET,11,4.9,8.4,11.9
00-0035676,A.J. Brown,WR,PHI,DAL,12,17.0,21.0,25.0
00-0035676,A.J. Brown,WR,PHI,CHI,13,25.2,30.2,35.2
00-0035676,A.J. Brown,WR,PHI,LAC,14,10.0,13.0,16.0
00-0035676,A.J. Brown,WR,PHI,LV,15,10.1,11.1,12.1
00-0035676,A.J. Brown,WR,PHI,WAS,16,9.5,14.0,18.5
00-0035676,A.J. Brown,WR,PHI,BUF,17,6.8,9.3,11.8
00-0039793,AJ Barner,TE,SEA,SF,1,0.2,0.7,1.2
00-0039793,AJ Barner,TE,SEA,PIT,2,8.8,9.8,10.8
00-0039793,AJ Barner,TE,SEA,NO,3,2.3,2.8,3.3
00-0039793,AJ Barner,TE,SEA,ARI,4,9.2,10.7,12.2
00-0039793,AJ Barner,TE,SEA,TB,5,17.3,20.8,24.3
00-0039793,AJ Barner,TE,SEA,JAX,6,7.1,8.6,10.1
00-0039793,AJ Barner,TE,SEA,HOU,7,0.9,1.4,1.9
00-0039793,AJ Barner,TE,SEA,WAS,9,8.5,10.0,11.5
00-0039793,AJ Barner,TE,SEA,ARI,10,0.3,0.3,0.3
00-0039793,AJ Barner,TE,SEA,LA,11,7.1,12.1,17.1
00-0039793,AJ Barner,TE,SEA,TEN,12,1.8,2.8,3.8
00-0039793,AJ Barner,TE,SEA,MIN,13,3.7,5.7,7.7
00-0039793,AJ Barner,TE,SEA,ATL,14,2.7,4.2,5.7
00-0039793,AJ Barner,TE,SEA,IND,15,2.7,4.2,5.7
00-0039793,AJ Barner,TE,SEA,LA,16,11.0,13.0,15.0
00-0039793,AJ Barner,TE,SEA,CAR,17,10.3,11.8,13.3
00-0039793,AJ Barner,TE,SEA,SF,18,1.4,2.4,3.4
00-0036265,AJ Dillon,RB,PHI,DAL,1,1.0,1.0,1.0
00-0036265,AJ Dillon,RB,PHI,KC,2,1.9,1.9,1.9
00-0036265,AJ Dillon,RB,PHI,TB,4,1.7,1.7,1.7
00-0036265,AJ Dillon,RB,PHI,DEN,5,1.2,1.2,1.2
00-0036265,AJ Dillon,RB,PHI,NYG,6,0.0,1.0,2.0
00-0036265,AJ Dillon,RB,PHI,WAS,18,0.3,0.8,1.3
00-0033293,Aaron Jones,RB,MIN,CHI,1,12.7,14.2,15.7
00-0033293,Aaron Jones,RB,MIN,ATL,2,2.3,2.3,2.3
00-0033293,Aaron Jones,RB,MIN,LAC,8,3.0,4.0,5.0
00-0033293,Aaron Jones,RB,MIN,DET,9,9.8,10.8,11.8
00-0033293,Aaron Jones,RB,MIN,BAL,10,12.9,14.4,15.9
00-0033293,Aaron Jones,RB,MIN,CHI,11,8.1,9.6,11.1
00-0033293,Aaron Jones,RB,MIN,GB,12,5.7,7.2,8.7
00-0033293,Aaron Jones,RB,MIN,SEA,13,0.5,2.5,4.5
00-0033293,Aaron Jones,RB,MIN,WAS,14,7.6,7.6,7.6
00-0033293,Aaron Jones,RB,MIN,DAL,15,6.5,8.0,9.5
00-0033293,Aaron Jones,RB,MIN,NYG,16,9.3,10.3,11.3
00-0033293,Aaron Jones,RB,MIN,DET,17,12.3,13.8,15.3
00-0023459,Aaron Rodgers,QB,PIT,NYJ,1,25.7,25.7,25.7
00-0023459,Aaron Rodgers,QB,PIT,SEA,2,10.4,10.4,10.4
00-0023459,Aaron Rodgers,QB,PIT,NE,3,11.7,11.7,11.7
